0.00	11.84
0.10	11.41
0.20	11.20
0.30	10.80
0.40	10.60
0.50	9.51
1.00	8.70
1.10	9.09
1.20	8.42
1.30	7.58
1.40	6.28
1.50	6.59
2.00	6.37
2.10	5.96
2.20	5.72
2.30	5.56
2.40	5.09
2.50	5.00
3.00	4.96
3.10	4.95
3.20	4.72
3.30	4.78
3.40	4.70
3.50	4.76
4.00	4.78
4.10	4.73
4.20	4.78
4.30	4.79
4.40	4.67
4.50	4.82
5.00	4.73
5.10	4.78
5.20	4.79
5.30	4.71
5.40	4.84
5.50	4.70
6.00	4.83
6.10	4.87
6.20	4.84
6.30	5.25
6.40	5.36
6.50	5.53
7.00	5.93
7.10	6.30
7.20	6.43
7.30	6.69
7.40	6.90
7.50	7.00
8.00	7.61
8.10	7.95
8.20	8.03
8.30	8.34
8.40	8.64
8.50	8.69
9.00	8.93
9.10	9.81
9.20	10.49
9.30	10.93
9.40	11.26
9.50	11.38
10.00	11.47
10.10	12.05
10.20	12.87
10.30	13.82
10.40	14.08
10.50	13.96
11.00	14.00
11.10	15.18
11.20	15.71
11.30	16.00
11.40	16.56
11.50	17.43
12.00	17.64
12.10	18.31
12.20	17.84
12.30	18.24
12.40	17.37
12.50	16.98
13.00	17.90
13.10	16.59
13.20	16.46
13.30	17.63
13.40	17.17
13.50	16.14
14.00	16.50
14.10	17.81
14.20	18.21
14.30	19.63
14.40	21.25
14.50	21.56
15.00	21.80
15.10	21.45
15.20	21.72
15.30	21.74
15.40	21.51
15.50	21.75
16.00	21.11
16.10	20.64
16.20	20.37
16.30	20.34
16.40	20.48
16.50	21.24
17.00	21.62
17.10	21.20
17.20	21.73
17.30	22.01
17.40	21.98
17.50	22.50
18.00	22.54
18.10	22.33
18.20	22.85
18.30	23.73
18.40	24.54
18.50	26.17
19.00	26.71
19.10	25.88
19.20	25.69
19.30	25.55
19.40	24.44
19.50	24.34
20.00	24.27
20.10	23.47
20.20	22.37
20.30	20.90
20.40	20.16
20.50	20.23
21.00	20.36
21.10	20.55
21.20	20.94
21.30	21.60
21.40	21.88
21.50	23.06
22.00	22.54
22.10	21.96
22.20	21.31
22.30	20.90
22.40	20.22
22.50	18.95
23.00	18.06
23.10	17.02
23.20	16.46
23.30	15.07
23.40	13.48
23.50	12.71
