0.00	16.65
0.10	15.39
0.20	14.48
0.30	13.21
0.40	11.93
0.50	10.89
1.00	9.60
1.10	8.71
1.20	8.49
1.30	7.93
1.40	7.08
1.50	6.61
2.00	6.39
2.10	6.25
2.20	6.19
2.30	5.98
2.40	5.83
2.50	5.64
3.00	5.62
3.10	5.44
3.20	5.28
3.30	5.18
3.40	5.03
3.50	5.01
4.00	4.91
4.10	4.86
4.20	4.74
4.30	4.74
4.40	4.66
4.50	4.65
5.00	4.74
5.10	4.71
5.20	4.72
5.30	4.78
5.40	4.70
5.50	4.89
6.00	5.15
6.10	5.47
6.20	5.82
6.30	6.13
6.40	6.49
6.50	7.09
7.00	7.70
7.10	8.87
7.20	9.59
7.30	10.01
7.40	9.92
7.50	9.90
8.00	10.59
8.10	10.43
8.20	9.97
8.30	9.89
8.40	9.71
8.50	9.46
9.00	9.11
9.10	8.49
9.20	7.92
9.30	7.76
9.40	7.87
9.50	7.89
10.00	7.96
10.10	7.98
10.20	8.07
10.30	8.15
10.40	8.13
10.50	8.21
11.00	8.29
11.10	8.46
11.20	8.66
11.30	9.10
11.40	9.79
11.50	10.42
12.00	11.36
12.10	12.41
12.20	13.58
12.30	14.82
12.40	15.67
12.50	17.18
13.00	18.81
13.10	19.76
13.20	20.36
13.30	21.08
13.40	21.68
13.50	21.50
14.00	21.51
14.10	20.75
14.20	20.50
14.30	19.90
14.40	18.78
14.50	17.64
15.00	17.00
15.10	16.45
15.20	15.82
15.30	15.52
15.40	15.22
15.50	14.87
16.00	14.70
16.10	14.62
16.20	14.69
16.30	14.41
16.40	14.56
16.50	14.44
17.00	14.67
17.10	14.76
17.20	14.71
17.30	14.21
17.40	14.07
17.50	13.94
18.00	14.37
18.10	14.75
18.20	15.11
18.30	15.58
18.40	16.10
18.50	16.63
19.00	18.17
19.10	19.45
19.20	20.87
19.30	22.22
19.40	23.53
19.50	24.30
20.00	26.06
20.10	26.95
20.20	27.70
20.30	28.45
20.40	29.10
20.50	29.71
21.00	29.57
21.10	30.30
21.20	30.66
21.30	30.67
21.40	30.66
21.50	30.70
22.00	30.50
22.10	30.39
22.20	29.83
22.30	29.33
22.40	28.46
22.50	27.45
23.00	26.52
23.10	25.18
23.20	23.23
23.30	21.57
23.40	19.88
23.50	18.14
